Zeit;Kanal A
(ms);(mV)

-23,99349908;-6,70091000
-23,98849908;-8,56299200
-23,98349908;-7,25947300
-23,97849908;-9,86589500
-23,97349908;-6,70091000
-23,96849908;-8,19020700
-23,96349908;-7,25947300
-23,95849908;-7,81803600
-23,95349908;-7,07369500
-23,94849908;-8,00442800
-23,94349908;-8,00442800
-23,93849908;-8,56299200
-23,93349908;-7,44586600
-23,92849908;-9,12093900
-23,92349908;-7,44586600
-23,91849908;-8,00442800
-23,91349908;-7,07369500
-23,90849908;-7,25947300
-23,90349908;-8,19020700
-23,89849908;-7,25947300
-23,89349908;-6,32874000
-23,88849908;-5,77017700
-23,88349908;-5,95657000
-23,87849908;-6,70091000
-23,87349908;-6,32874000
-23,86849908;-4,83944400
-23,86349908;-5,58439900
-23,85849908;-5,39800700
-23,85349908;-6,32874000
-23,84849908;-5,02583600
-23,84349908;-5,39800700
-23,83849908;-4,65366600
-23,83349908;-6,51513300
-23,82849908;-3,90871000
-23,82349908;-4,65366600
-23,81849908;-4,65366600
-23,81349908;-4,65366600
-23,80849908;-3,90871000
-23,80349908;-3,90871000
-23,79849908;-3,90871000
-23,79349908;-2,97797700
-23,78849908;-2,23363700
-23,78349908;-4,28149600
-23,77849908;-1,86146600
-23,77349908;-3,53654000
-23,76849908;-2,60580700
-23,76349908;-1,48868100
-23,75849908;-1,11651100
-23,75349908;-2,97797700
-23,74849908;-1,11651100
-23,74349908;-3,35014700
-23,73849908;-0,74434050
-23,73349908;-2,79220000
-23,72849908;-2,04724400
-23,72349908;-2,23363700
-23,71849908;-1,30290300
-23,71349908;-2,04724400
-23,70849908;-1,48868100
-23,70349908;-2,04724400
-23,69849908;-1,86146600
-23,69349908;-0,74434050
-23,68849909;-1,30290300
-23,68349909;-1,30290300
-23,67849909;-1,67507400
-23,67349909;-1,30290300
-23,66849909;-0,74434050
-23,66349909;-0,55794780
-23,65849909;-1,67507400
-23,65349909;-0,37217020
-23,64849909;-2,04724400
-23,64349909;0,18577760
-23,63849909;-1,67507400
-23,63349909;0,00000000
-23,62849909;-1,30290300
-23,62349909;-1,11651100
-23,61849909;-2,04724400
-23,61349909;-1,67507400
-23,60849909;-2,23363700
-23,60349909;-1,30290300
-23,59849909;-1,86146600
-23,59349909;-2,97797700
-23,58849909;-2,23363700
-23,58349909;-1,48868100
-23,57849909;-1,30290300
-23,57349909;-1,67507400
-23,56849909;-2,23363700
-23,56349909;-2,23363700
-23,55849909;-0,37217020
-23,55349909;-1,48868100
-23,54849909;-0,93073320
-23,54349909;-1,30290300
-23,53849909;-1,30290300
-23,53349909;-2,04724400
-23,52849909;-0,93073320
-23,52349909;-1,86146600
-23,51849909;-1,30290300
-23,51349909;-1,30290300
-23,50849909;-2,23363700
-23,50349909;-2,04724400
-23,49849909;0,18577760
-23,49349909;-1,30290300
-23,48849909;-2,04724400
-23,48349909;-1,86146600
-23,47849909;-0,55794780
-23,47349909;-0,74434050
-23,46849909;0,55794780
-23,46349909;-2,23363700
-23,45849909;-0,18577760
-23,45349909;-0,55794780
-23,44849909;-1,11651100
-23,44349909;0,00000000
-23,43849909;-0,18577760
-23,43349909;-0,37217020
-23,42849909;-1,67507400
-23,42349909;-0,74434050
-23,41849909;-0,93073320
-23,41349909;-0,74434050
-23,40849909;-2,04724400
-23,40349909;0,93073320
-23,39849909;-1,11651100
-23,39349909;0,18577760
-23,38849909;0,00000000
-23,38349909;-0,37217020
-23,37849909;-1,30290300
-23,37349909;0,74434050
-23,36849909;-1,48868100
-23,36349909;-0,37217020
-23,35849909;-0,18577760
-23,35349909;-1,11651100
-23,34849909;-0,74434050
-23,34349909;-0,74434050
-23,33849909;-1,30290300
-23,33349909;-1,11651100
-23,32849909;-1,30290300
-23,32349909;-2,04724400
-23,31849909;-0,93073320
-23,31349909;-2,04724400
-23,30849909;-2,04724400
-23,30349909;-1,67507400
-23,29849909;-0,37217020
-23,29349910;-1,67507400
-23,28849910;-0,74434050
-23,28349910;-1,67507400
-23,27849910;-1,30290300
-23,27349910;-1,11651100
-23,26849910;-1,11651100
-23,26349910;-2,04724400
-23,25849910;-0,74434050
-23,25349910;-1,67507400
-23,24849910;0,00000000
-23,24349910;-1,67507400
-23,23849910;-0,37217020
-23,23349910;-0,93073320
-23,22849910;-0,74434050
-23,22349910;-0,74434050
-23,21849910;-0,93073320
-23,21349910;-1,67507400
-23,20849910;0,18577760
-23,20349910;-1,48868100
-23,19849910;-1,30290300
-23,19349910;-0,55794780
-23,18849910;-0,18577760
-23,18349910;-1,30290300
-23,17849910;0,18577760
-23,17349910;-1,11651100
-23,16849910;-0,55794780
-23,16349910;0,55794780
-23,15849910;-0,18577760
-23,15349910;0,37217020
-23,14849910;0,55794780
-23,14349910;0,55794780
-23,13849910;-0,18577760
-23,13349910;1,48868100
-23,12849910;-0,37217020
-23,12349910;-0,18577760
-23,11849910;-0,93073320
-23,11349910;1,11651100
-23,10849910;-1,30290300
-23,10349910;1,48868100
-23,09849910;-0,74434050
-23,09349910;-1,30290300
-23,08849910;0,00000000
-23,08349910;-0,74434050
-23,07849910;0,18577760
-23,07349910;-0,93073320
-23,06849910;-0,93073320
-23,06349910;-1,30290300
-23,05849910;-0,37217020
-23,05349910;-1,11651100
-23,04849910;-0,74434050
-23,04349910;-1,11651100
-23,03849910;-0,93073320
-23,03349910;-1,67507400
-23,02849910;0,37217020
-23,02349910;-1,30290300
-23,01849910;0,55794780
-23,01349910;-1,86146600
-23,00849910;0,00000000
-23,00349910;-1,11651100
-22,99849910;0,18577760
-22,99349910;-1,11651100
-22,98849910;0,00000000
-22,98349910;-1,67507400
-22,97849910;0,93073320
-22,97349910;-0,18577760
-22,96849910;1,86146600
-22,96349910;-0,18577760
-22,95849910;0,93073320
-22,95349910;0,00000000
-22,94849910;1,86146600
-22,94349910;1,30290300
-22,93849910;1,11651100
-22,93349910;0,18577760
-22,92849910;1,86146600
-22,92349910;1,86146600
-22,91849910;2,23363700
-22,91349910;3,16437000
-22,90849910;1,86146600
-22,90349910;2,97797700
-22,89849910;2,60580700
-22,89349911;2,23363700
-22,88849911;2,97797700
-22,88349911;3,16437000
-22,87849911;2,79220000
-22,87349911;3,72293300
-22,86849911;3,72293300
-22,86349911;4,83944400
-22,85849911;3,90871000
-22,85349911;4,28149600
-22,84849911;5,02583600
-22,84349911;5,21222900
-22,83849911;4,09510300
-22,83349911;5,02583600
-22,82849911;4,83944400
-22,82349911;5,02583600
-22,81849911;4,46727300
-22,81349911;4,83944400
-22,80849911;4,83944400
