Zeit;Kanal A
(ms);(V)

6,39999984;1,18774600
6,44999984;1,16916800
6,49999984;1,16916800
6,54999983;1,16916800
6,59999983;1,18774600
6,64999983;1,18774600
6,69999983;1,16916800
6,74999983;1,16916800
6,79999983;1,18774600
6,84999983;1,16916800
6,89999983;1,16916800
6,94999982;1,18774600
6,99999982;1,16916800
7,04999982;1,18774600
7,09999982;1,18774600
7,14999982;1,16916800
7,19999982;1,16916800
7,24999982;1,16916800
7,29999982;1,16916800
7,34999981;1,16916800
7,39999981;1,18774600
7,44999981;1,18774600
7,49999981;1,18774600
7,54999981;1,16916800
7,59999981;1,15059100
7,64999981;1,18774600
7,69999981;1,16916800
7,74999980;1,16916800
7,79999980;1,18774600
7,84999980;1,18774600
7,89999980;1,18774600
7,94999980;1,18774600
7,99999980;1,16916800
8,04999980;1,16916800
8,09999980;1,18774600
8,14999979;1,18774600
8,19999979;1,18774600
8,24999979;1,18774600
8,29999979;1,16916800
8,34999979;1,18774600
8,39999979;1,18774600
8,44999979;1,16916800
8,49999979;1,16916800
8,54999978;1,16916800
8,59999978;1,16916800
8,64999978;1,16916800
8,69999978;1,18774600
8,74999978;1,16916800
8,79999978;1,18774600
8,84999978;1,18774600
8,89999978;1,16916800
8,94999977;1,18774600
8,99999977;1,16916800
9,04999977;1,18774600
9,09999977;1,16916800
9,14999977;1,18774600
9,19999977;1,18774600
9,24999977;1,18774600
9,29999977;1,16916800
9,34999976;1,18774600
9,39999976;1,20626200
9,44999976;1,18774600
9,49999976;1,18774600
9,54999976;1,18774600
9,59999976;1,18774600
9,64999976;1,18774600
9,69999975;1,16916800
9,74999975;1,16916800
9,79999975;1,18774600
9,84999975;1,16916800
9,89999975;1,18774600
9,94999975;1,16916800
9,99999975;1,18774600
10,04999975;1,16916800
10,09999974;1,16916800
10,14999974;1,18774600
10,19999974;1,18774600
10,24999974;1,18774600
10,29999974;1,16916800
10,34999974;1,18774600
10,39999974;1,18774600
10,44999974;1,18774600
10,49999973;1,18774600
10,54999973;1,16916800
10,59999973;1,18774600
10,64999973;1,16916800
10,69999973;1,16916800
10,74999973;1,18774600
10,79999973;1,16916800
10,84999973;1,18774600
10,89999972;1,16916800
10,94999972;1,16916800
10,99999972;1,18774600
11,04999972;1,16916800
11,09999972;1,16916800
11,14999972;1,18774600
11,19999972;1,18774600
11,24999972;1,18774600
11,29999971;1,18774600
11,34999971;1,18774600
11,39999971;1,18774600
11,44999971;1,18774600
11,49999971;1,16916800
11,54999971;1,16916800
11,59999971;1,16916800
11,64999971;1,18774600
11,69999970;1,16916800
11,74999970;1,16916800
11,79999970;1,16916800
11,84999970;1,16916800
11,89999970;1,16916800
11,94999970;1,16916800
11,99999970;1,18774600
12,04999970;1,16916800
12,09999969;1,16916800
12,14999969;1,16916800
12,19999969;1,18774600
12,24999969;1,18774600
12,29999969;1,18774600
12,34999969;1,18774600
12,39999969;1,18774600
12,44999969;1,16916800
12,49999968;1,18774600
12,54999968;1,16916800
12,59999968;1,16916800
12,64999968;1,16916800
12,69999968;1,16916800
12,74999968;1,18774600
12,79999968;1,16916800
12,84999968;1,18774600
12,89999967;1,16916800
12,94999967;1,18774600
12,99999967;1,16916800
13,04999967;1,16916800
13,09999967;1,18774600
13,14999967;1,16916800
13,19999967;1,18774600
13,24999967;1,18774600
13,29999966;1,18774600
13,34999966;1,18774600
13,39999966;1,18774600
13,44999966;1,18774600
13,49999966;1,16916800
13,54999966;1,16916800
13,59999966;1,18774600
13,64999966;1,16916800
13,69999965;1,18774600
13,74999965;1,16916800
13,79999965;1,18774600
13,84999965;1,16916800
13,89999965;1,18774600
13,94999965;1,16916800
13,99999965;1,18774600
14,04999965;1,18774600
